title,year,searched researcher,collaborators
Connection coefficients between generalized rising and falling factorial bases,2015,"Liese, Jeffrey","Miceli, Brian K.; Remmel, Jeffrey"
"Harmonic numbers, Catalan's triangle and mesh patterns",2013,"Liese, Jeffrey","Kitaev, Sergey"
Wilf equivalence for generalized factor orders modulo  k,2012,"Liese, Jeffrey","Langley, Thomas; Remmel, Jeffrey"
Preface [Ninth Annual Conference on Permutation Patterns (PP2011)],2011,"Liese, Jeffrey","Ferrari, Luca"
Generating functions for Wilf equivalence under generalized factor order,2011,"Liese, Jeffrey","Langley, Thomas; Remmel, Jeffrey"
Q-analogues of the number of permutations with k-excedances,2010,"Liese, Jeffrey","Remmel, Jeffrey"
Generating functions for permutations avoiding a consecutive pattern,2010,"Liese, Jeffrey","Remmel, Jeffrey"
"Rationality, irrationality, and Wilf equivalence in generalized factor order",2009,"Liese, Jeffrey","Kitaev, Sergey; Remmel, Jeffrey; Sagan, Bruce"
q-counting descent pairs with prescribed tops and bottoms,2009,"Liese, Jeffrey","Hall, John; Remmel, Jeffrey B."
Counting patterns in permutations and words,2008,"Liese, Jeffrey",
Counting descents and ascents relative to equivalence classes mod k,2007,"Liese, Jeffrey",
Bounds on the complex permittivity of polycrystalline materials by analytic continuation,2015,"Lin, Joyce","Gully, A.; Cherkaev, E.; Golden, K. M."
A first-principle predictive theory for a sphere falling through sharply stratified fluid at low Reynolds number,2010,"Lin, Joyce","Camassa, Roberto; Falcon, Claudia; McLaughlin, Richard M.; Mykins, Nicholas"
Position sequences and a q-analogue for the modular hook length formula,2019,"Mendes, Anthony","Lindbloom-Airey, Sam"
The combinatorics of rim hook tableaux,2019,"Mendes, Anthony",
A note on the kth tensor product of the defining representation,2016,"Mendes, Anthony","Romero, Marino"
Counting with symmetric functions,2015,"Mendes, Anthony","Remmel, Jeffrey"
Guessing games,2014,"Mendes, Anthony","Morrison, Kent E."
Hook and content bijections,2013,"Mendes, Anthony",
Permutations with k-regular descent patterns,2010,"Mendes, Anthony","Remmel, Jeffrey B.; Riehl, Amanda"
"Descents, inversions, and major indices in permutation groups",2008,"Mendes, Anthony","Remmel, Jeffrey"
A note on alternating permutations,2007,"Mendes, Anthony","Remmel, Jeffrey"
Permutations and words counted by consecutive patterns,2006,"Mendes, Anthony",
Bijective matrix algebra,2006,"Mendes, Anthony","Loehr, Nicholas A."
Generating functions for statistics on  Ck≀Sn,2005,"Mendes, Anthony","Remmel, Jeffrey"
Building generating functions brick by brick,2004,"Mendes, Anthony",
A λ-ring Frobenius characteristic for  G≀Sn,2004,"Mendes, Anthony","Remmel, Jeffrey; Wagner, Jennifer"
An analysis of strategic treatment interruptions during imatinib treatment of chronic myelogenous leukemia with imatinib-resistant mutations,2015,"Paquin, Dana","Sacco, David; Shamshoian, John"
Strategic treatment interruptions during imatinib treatment of chronic myelogenous leukemia,2011,"Paquin, Dana","Kim, Peter S.; Lee, Peter P.; Levy, Doron"
Multiscale deformable registration of noisy medical images,2008,"Paquin, Dana","Levy, Doron; Xing, Lei"
Multiscale methods for image registration,2007,"Paquin, Dana",
Hybrid multiscale landmark and deformable image registration,2007,"Paquin, Dana","Levy, Doron; Xing, Lei"
Multiscale image registration,2006,"Paquin, Dana","Levy, Doron; Schreibmann, Eduard; Xing, Lei"
Symmetric numerical ranges of four-by-four matrices,2018,"Patton, Linda J.","Burnett, Shelby L.; Chandler, Ashley"
Numerical ranges of 4-by-4 nilpotent matrices: flat portions on the boundary,2017,"Patton, Linda J.","Militzer, Erin; Spitkovsky, Ilya M.; Tsai, Ming-Cheng"
Trace conditions for symmetry of the numerical range,2013,"Patton, Linda J.","Deaett, Louis; Lafuente-Rodriguez, Ramiro H.; Marin, Juan, Jr.; Haller Martin, Erin; Rasmussen, Kathryn; Johnson Yates, Rebekah B."
Some block Toeplitz composition operators,2013,"Patton, Linda J.",
Numerical ranges of cube roots of the identity,2011,"Patton, Linda J.","Harris, Thomas Ryan; Mazzella, Michael; Renfrew, David; Spitkovsky, Ilya M."
Norm inequalities for composition operators on Hardy and weighted Bergman spaces,2010,"Patton, Linda J.","Hammond, Christopher"
Approximating composition operator norms on the Dirichlet space,2008,"Patton, Linda J.","Robbins, Marian E."
On multivariable Fejér inequalities,2006,"Patton, Linda J.","Putinar, Mihai"
Composition operators that are m-isometries,2005,"Patton, Linda J.","Robbins, Marian E."
Commutation relations for Toeplitz and Hankel matrices,2003,"Patton, Linda J.","Gu, Caixing"
Carathéodory-Fejér interpolation on polydisks,2000,"Patton, Linda J.","Eschmeier, Jörg; Putinar, Mihai"
Some solutions to the matrix equation for three point Nevanlinna-Pick interpolation on the bidisc,1995,"Patton, Linda J.",
Interpolation of Nevanlinna-Pick type on the boundary of the bidisc,1994,"Patton, Linda J.",
Interpolation of Nevanlinna-Pick type on the boundary of the polydisc,1991,"Patton, Linda J.",
"Continuum versus discrete networks, graph Laplacians, and reproducing kernel Hilbert spaces",2019,"Pearse, Erin Peter James","Jorgensen, Palle E. T."
"Unbounded operators in Hilbert space, duality rules, characteristic projections, and their applications",2018,"Pearse, Erin Peter James","Jorgensen, Palle; Tian, Feng"
"Symmetric pairs of unbounded operators in Hilbert space, and their applications in mathematical physics",2017,"Pearse, Erin Peter James","Jorgensen, Palle E. T."
"Symmetric pairs and self-adjoint extensions of operators, with applications to energy networks",2016,"Pearse, Erin Peter James","Jorgensen, Palle E. T."
Lattice-type self-similar sets with pluriphase generators fail to be Minkowski measurable,2016,"Pearse, Erin Peter James","Kombrink, Sabrina; Winter, Steffen"
Spectral comparisons between networks with different conductance functions,2014,"Pearse, Erin Peter James","Jorgensen, Palle E. T."
Minkowski measurability results for self-similar tilings and fractals with monophase generators,2013,"Pearse, Erin Peter James","Lapidus, Michel L.; Winter, Steffen"
"A discrete Gauss-Green identity for unbounded Laplace operators, and the transience of random walks",2013,"Pearse, Erin Peter James","Jorgensen, Palle E. T."
Multiplication operators on the energy space,2013,"Pearse, Erin Peter James","Jorgensen, Palle E. T."
Geometry of canonical self-similar tilings,2012,"Pearse, Erin Peter James","Winter, Steffen"
Resistance boundaries of infinite networks,2011,"Pearse, Erin Peter James","Jorgensen, Palle E. T."
Gelʹfand triples and boundaries of infinite networks,2011,"Pearse, Erin Peter James","Jorgensen, Palle E. T."
Pointwise tube formulas for fractal sprays and self-similar tilings with arbitrary generators,2011,"Pearse, Erin Peter James","Lapidus, Michel L.; Winter, Steffen"
Spectral reciprocity and matrix representations of unbounded operators,2011,"Pearse, Erin Peter James","Jorgensen, Palle E. T."
A Hilbert space approach to effective resistance metric,2010,"Pearse, Erin Peter James","Jorgensen, Palle E. T."
Tube formulas and complex dimensions of self-similar tilings,2010,"Pearse, Erin Peter James","Lapidus, Michel L."
The resolvent kernel for PCF self-similar fractals,2010,"Pearse, Erin Peter James","Ionescu, Marius; Rogers, Luke G.; Ruan, Huo-Jun; Strichartz, Robert S."
Tube formulas for self-similar fractals,2008,"Pearse, Erin Peter James","Lapidus, Michel L."
Canonical self-affine tilings by iterated function systems,2007,"Pearse, Erin Peter James",
Complex dimensions of self-similar systems,2006,"Pearse, Erin Peter James",
Extremal non-compactness of composition operators with linear fractional symbol,2006,"Retsek, Dylan Q.","Basor, Estelle L."
The kernel supremum property and norms of composition operators,2001,"Retsek, Dylan Q.",
Reproducing kernels and norms of composition operators,2001,"Retsek, Dylan Q.","Bourdon, Paul S."
A proof of Evans' convexity conjecture,2015,"Richert, Benjamin P.",
An avuncular chat about reviewing for Mathematical Reviews,2013,"Richert, Benjamin P.","Richert, Norman"
Errata for Syzygies of semi-regular sequences,2012,"Richert, Benjamin P.","Pardue, Keith"
Syzygies of semi-regular sequences,2009,"Richert, Benjamin P.","Pardue, Keith"
The residuals of lex plus powers ideals and the Eisenbud-Green-Harris conjecture,2008,"Richert, Benjamin P.","Sabourin, Sindi"
Lex-plus-powers ideals,2007,"Richert, Benjamin P.","Francisco, Christopher A."
Minimal Betti numbers,2007,"Richert, Benjamin P.","Dodd, Christopher; Marks, Andrew; Meyerson, Victor"
Lower bounds for Betti numbers of special extensions,2005,"Richert, Benjamin P.","Hochster, Melvin"
Monomial ideals and n-lists,2004,"Richert, Benjamin P.",
A study of the lex plus powers conjecture,2004,"Richert, Benjamin P.",
Possible resolutions for a given Hilbert function,2002,"Richert, Benjamin P.","Evans, E. Graham, Jr."
Smallest graded Betti numbers,2001,"Richert, Benjamin P.",
"Monomial ideals, N-lists, and smallest graded betti numbers",2000,"Richert, Benjamin P.",
Adjoints of composition operators with rational symbol,2008,"Robbins, Marian E.","Hammond, Christopher; Moorhouse, Jennifer"
Approximating composition operator norms on the Dirichlet space,2008,"Robbins, Marian E.","Patton, Linda J."
Composition operators that are m-isometries,2005,"Robbins, Marian E.","Patton, Linda J."
Composition operators from large weighted Hardy spaces into the Dirichlet space,2002,"Robbins, Marian E.",
Composition operators between Bergman spaces,1996,"Robbins, Marian E.",
Composition operators between Hilbert spaces of analytical functions,1992,"Robbins, Marian E.",
Adjoints of composition operators with irrational symbol,2020,"Shapiro, Jonathan E.","Gu, Caixing; Rizzie, Erin"
Toeplitzness of products of composition operators and their adjoints,2014,"Shapiro, Jonathan E.","Duna, Chad; Gagne, Matthew; Gu, Caixing"
Norms of composition operators with rational symbol,2006,"Shapiro, Jonathan E.","Effinger-Dean, Sean; Johnson, Alan; Reed, Joseph"
More relative angular derivatives,2003,"Shapiro, Jonathan E.",
Strict convexity of some subsets of Hankel operators,2003,"Shapiro, Jonathan E.","Gu, Caixing"
Continuity of the norm of a composition operator,2003,"Shapiro, Jonathan E.","Pokorny, David B."
Relative angular derivatives,2001,"Shapiro, Jonathan E.",
Kernels of Hankel operators and hyponormality of Toeplitz operators,2001,"Shapiro, Jonathan E.","Gu, Caixing"
The essential norm of a composition operator on a planar domain,1999,"Shapiro, Jonathan E.","Fisher, Stephen D."
Aleksandrov measures used in essential norm inequalities for composition operators,1998,"Shapiro, Jonathan E.",
Singular factors are rare,1997,"Shapiro, Jonathan E.","Fisher, Stephen D."
Local Calabi and curvature estimates for the Chern-Ricci flow,2013,"Sherman, Morgan","Weinkove, Ben"
Interior derivative estimates for the Kähler-Ricci flow,2012,"Sherman, Morgan","Weinkove, Ben"
When is a trigonometric polynomial not a trigonometric polynomial?,2012,"Sherman, Morgan","Borzellino, Joseph E."
Convergence properties of Donaldson's T-iterations on the Riemann sphere,2009,"Sherman, Morgan",
On an extension of Galligo's theorem concerning the Borel-fixed points on the Hilbert scheme,2007,"Sherman, Morgan",
The infinitely near Borel-fixed points on the Hilbert scheme,2005,"Sherman, Morgan",
Some results on higher order isometries and symmetries: products and sums with a nilpotent operator,2015,"Stankus, Mark","Gu, Caixing"
"m-isometries, n-symmetries and other linear transformations which are hereditary roots",2013,"Stankus, Mark",
Local geometry of zero sets of holomorphic functions near the torus,2008,"Stankus, Mark","Agler, Jim; McCarthy, John E."
Toral algebraic sets and function theory on polydisks,2006,"Stankus, Mark","Agler, Jim; McCarthy, John E."
Singularly perturbed control systems using non-commutative computer algebra,2000,"Stankus, Mark","Helton, J. W.; Kronewitter, F. Dell; McEneaney, W. M."
"Computer assistance for ""discovering'' formulas in system engineering and operator theory",1999,"Stankus, Mark","Helton, J. William"
Computer simplification of formulas in linear systems theory,1998,"Stankus, Mark","Helton, J. William; Wavrik, John J."
Classification of hereditary matrices,1998,"Stankus, Mark","Agler, Jim; Helton, J. William"
m-isometric transformations of Hilbert space. III,1996,"Stankus, Mark","Agler, Jim"
m-isometric transformations of Hilbert space. II,1995,"Stankus, Mark","Agler, Jim"
m-isometric transformations of Hilbert space. I,1995,"Stankus, Mark","Agler, Jim"
Isosymmetric linear transformations on complex Hilbert space,1993,"Stankus, Mark",
On simultaneous s-cores/t-cores,2009,"Sze, Lawrence","Aukerman, David; Kane, Ben"
Self-conjugate simultaneous p- and q-core partitions and blocks of An,2009,"Sze, Lawrence","Ford, Ben; Mai, Hoàng"
On the reliability of an n-component system,2006,"Sze, Lawrence","Rawlings, Don"
"Self-conjugate t-core partitions, sums of squares, and p-blocks of An",2006,"Sze, Lawrence","Baldwin, John; Depweg, Melissa; Ford, Ben; Kunin, Abraham"
The expected variation of random bounded integer sequences of finite length,2005,"Sze, Lawrence","Angeles, Rudolfo; Rawlings, Don; Tiefenbruck, Mark"
The number of edges on generalizations of Paley graphs,2001,"Sze, Lawrence",
"On the number theoretic and combinatorial properties of (e,r)-core partitions",1998,"Sze, Lawrence",
Rook theory and t-cores,1998,"Sze, Lawrence","Haglund, Jim; Ono, Ken"
Calculating p(n) modulo small primes using quadratic forms,1998,"Sze, Lawrence",
4-core partitions and class numbers,1997,"Sze, Lawrence","Ono, Ken"
Large sets of zero analytic capacity,2001,"Yoshinobu, Stan","Garnett, John"
Centralizers of Coxeter elements and inner automorphisms of right-angled Coxeter groups,2009,"White, Matthew E.","Kaul, Anton"
Large embedded balls and Heegaard genus in negative curvature,2004,"White, Matthew E.","Bachman, David; Cooper, Daryl"
Injectivity radius and fundamental groups of hyperbolic 3-manifolds,2002,"White, Matthew E.",
Some bounds for closed hyperbolic 3-manifolds,2000,"White, Matthew E.",
Analysis and Application of Reformulated Smoothed Particle Hydrodynamics,2011,"Chi, Haoyan",
Fractal Zeta Functions: To Ahlfors Spaces and Beyond,2017,"Watson, Sean",
An application of Lyapunov's direct method to the study of oscillations of a delay differential equation of even order,1978,"Terry, Raymond",
Iterative criteria for bounds on the growth of positive solutions of a delay differential equation,1978,"Terry, Raymond",
Positive solutions of  Dn[r(t)Dny(t)]=p(t)y(t−τ(t)),1977,"Terry, Raymond",
Oscillatory and asymptotic properties of homogeneous and nonhomogeneous delay differential equations of even order,1976,"Terry, Raymond",
Oscillatory and asymptotic properties of homogeneous and nonhomogeneous delay differential equations of fourth order,1975,"Terry, Raymond",
Delay differential equations of odd order satisfying property  ,1975,"Terry, Raymond",
Some oscillation criteria for delay-differential equations of even order,1975,"Terry, Raymond",
Oscillatory properties of a delay differential equation of even order,1974,"Terry, Raymond",
Oscillatory properties of a fourth-order delay differential equation. II,1973,"Terry, Raymond",
OSCILLATION PROPERTIES OF A DELAY DIFFERENTIAL EQUATION OF ORDER 2N,1972,"Terry, Raymond",
Oscillatory properties of a fourth-order delay differential equation,1972,"Terry, Raymond","Wong, Pui Kei"